ts_code,name,list_date,list_status,total_mv,popularity_ranking
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
